416	Oscillator 2 Tune
417	Oscillator 2 Blend
418	Oscillator 2 Unison Detune
419	Oscillator 2 Unison Voices
420	Oscillator 2 Wave Frame
421	Oversampling
422	Phaser Center
423	Phaser Mix
424	Phaser Feedback
425	Phaser Frequency
426	Phaser Mod Depth
427	Phaser Switch
428	Phaser Phase Offset
429	Phaser Sync
430	Phaser Tempo
431	Pitch Bend Range
432	Polyphony
433	Portamento Force
434	Portamento Scale
435	Portamento Slope
436	Portamento Time
437	Reverb Chorus Amount
438	Reverb Chorus Frequency
439	Reverb Decay Time
440	Reverb Mix
441	Reverb High Cutoff
442	Reverb High Gain
443	Reverb Low Cutoff
444	Reverb Low Gain
445	Reverb Switch
446	Reverb Pre High Cutoff
447	Reverb Pre Low Cutoff
448	Sample Keytrack
449	Sample Level
450	Sample Loop
451	Sample Switch
452	Sample Pan
453	Sample Random Phase
454	Sample Transpose
455	Sample Transpose Quantize
456	Sample Tune
457	Stereo Routing
458	Velocity Track
459	Voice Amplitude
460	Voice Priority
461	Voice Tune
462	Volume
463	Mod Wheel
464	Pitch Wheel
465	Random LFO 1 Frequency
466	Random LFO 1 Stereo
467	Random LFO 1 Style
468	Random LFO 1 Sync
469	Random LFO 1 Tempo
470	Random LFO 2 Frequency
471	Random LFO 2 Stereo
472	Random LFO 2 Style
473	Random LFO 2 Sync
474	Random LFO 2 Tempo
475	Random LFO 3 Frequency
476	Random LFO 3 Stereo
477	Random LFO 3 Style
478	Random LFO 3 Sync
479	Random LFO 3 Tempo
480	Random LFO 4 Frequency
481	Random LFO 4 Stereo
482	Random LFO 4 Style
483	Random LFO 4 Sync
484	Random LFO 4 Tempo
485	Oscillator 1 View 2D
486	Oscillator 2 View 2D
487	LFO 1 Stereo
488	LFO 2 Stereo
489	LFO 3 Stereo
490	LFO 4 Stereo
491	LFO 5 Stereo
492	LFO 6 Stereo
493	LFO 7 Stereo
494	LFO 8 Stereo
495	Oscillator 1 Frequency Morph Amount
496	Oscillator 1 Frequency Morph Spread
497	Oscillator 1 Frequency Morph Type
498	Oscillator 2 Frequency Morph Amount
499	Oscillator 2 Frequency Morph Spread
500	Oscillator 2 Frequency Morph Type
501	Oscillator 1 Destination
502	Oscillator 1 Spectral Unison
503	Oscillator 2 Destination
504	Oscillator 2 Spectral Unison
505	Oscillator 3 Destination
506	Oscillator 3 Detune Power
507	Oscillator 3 Detune Range
508	Oscillator 3 Distortion Amount
509	Oscillator 3 Distortion Phase
510	Oscillator 3 Distortion Spread
511	Oscillator 3 Distortion Type
512	Oscillator 3 Unison Frame Spread
513	Oscillator 3 Level
514	Oscillator 3 Midi Track
515	Oscillator 3 Switch
516	Oscillator 3 Pan
517	Oscillator 3 Phase
518	Oscillator 3 Phase Randomization
519	Oscillator 3 Smooth Interpolation
520	Oscillator 3 Frequency Morph Amount
521	Oscillator 3 Frequency Morph Spread
522	Oscillator 3 Frequency Morph Type
523	Oscillator 3 Spectral Unison
